docket_id,engine_off_section_id,engine_off_start,engine_off_end,engine_off_duration_minutes
Cemex--1026195572,285.0,2024-11-20 17:08:09+00:00,2024-11-20 17:09:49+00:00,1.6666666666666667
Cemex--1026199097,202.0,2024-11-21 11:06:02+00:00,2024-11-21 12:05:54+00:00,59.86666666666667
Cemex--1026199772,395.0,2024-11-21 07:26:31+00:00,2024-11-21 07:28:41+00:00,2.1666666666666665
Cemex--1026200323,513.0,2024-11-21 07:49:44+00:00,2024-11-21 07:53:14+00:00,3.5
Cemex--1026200487,330.0,2024-11-21 07:51:01+00:00,2024-11-21 07:54:21+00:00,3.3333333333333335
Cemex--1026200487,331.0,2024-11-21 08:17:46+00:00,2024-11-21 08:18:16+00:00,0.5
Cemex--1026200487,332.0,2024-11-21 08:20:37+00:00,2024-11-21 09:20:28+00:00,59.85
Cemex--1026201201,471.0,2024-11-21 09:57:25+00:00,2024-11-21 10:05:26+00:00,8.016666666666667
Cemex--1026202104,237.0,2024-11-21 10:28:57+00:00,2024-11-21 11:28:49+00:00,59.86666666666667
Cemex--1026202324,203.0,2024-11-21 09:59:10+00:00,2024-11-21 10:04:41+00:00,5.516666666666667
Cemex--1026202712,475.0,2024-11-21 08:54:21+00:00,2024-11-21 08:55:41+00:00,1.3333333333333333
Cemex--1026202853,421.0,2024-11-21 08:41:42+00:00,2024-11-21 08:42:12+00:00,0.5
Cemex--1026203278,337.0,2024-11-21 08:57:42+00:00,2024-11-21 09:01:53+00:00,4.183333333333334
Cemex--1026204018,435.0,2024-11-21 09:39:45+00:00,2024-11-21 09:46:46+00:00,7.016666666666667
Cemex--1026204198,222.0,2024-11-21 10:32:31+00:00,2024-11-21 10:32:31+00:00,0.0
Cemex--1026204198,223.0,2024-11-21 10:50:45+00:00,2024-11-21 10:59:46+00:00,9.016666666666667
Cemex--1026204198,224.0,2024-11-21 12:55:48+00:00,2024-11-21 13:55:30+00:00,59.7
Cemex--1026204198,225.0,2024-11-22 07:35:53+00:00,2024-11-22 07:35:53+00:00,0.0
Cemex--1026204660,477.0,2024-11-21 09:58:49+00:00,2024-11-21 10:00:29+00:00,1.6666666666666667
Cemex--1026204660,478.0,2024-11-21 10:01:00+00:00,2024-11-21 10:03:50+00:00,2.8333333333333335
Cemex--1026204660,479.0,2024-11-21 10:08:01+00:00,2024-11-21 10:08:01+00:00,0.0
Cemex--1026204973,314.0,2024-11-21 10:19:31+00:00,2024-11-21 10:22:52+00:00,3.35
Cemex--1026205071,376.0,2024-11-21 10:42:08+00:00,2024-11-21 10:42:18+00:00,0.16666666666666666
Cemex--1026206089,199.0,2024-11-21 10:19:02+00:00,2024-11-21 10:20:53+00:00,1.85
Cemex--1026206729,210.0,2024-11-21 11:07:13+00:00,2024-11-21 12:07:05+00:00,59.86666666666667
Cemex--1026206729,211.0,2024-11-21 13:58:04+00:00,2024-11-21 14:03:55+00:00,5.85
Cemex--1026206729,212.0,2024-11-21 14:07:06+00:00,2024-11-21 14:23:28+00:00,16.366666666666667
Cemex--1026206729,213.0,2024-11-21 14:23:48+00:00,2024-11-21 14:28:09+00:00,4.35
Cemex--1026206729,214.0,2024-11-21 14:28:29+00:00,2024-11-21 14:28:59+00:00,0.5
Cemex--1026206729,215.0,2024-11-21 14:29:39+00:00,2024-11-21 14:38:01+00:00,8.366666666666667
Cemex--1026206729,216.0,2024-11-21 15:54:05+00:00,2024-11-21 15:58:06+00:00,4.016666666666667
Cemex--1026206933,20.0,2024-11-21 12:10:40+00:00,2024-11-21 12:33:24+00:00,22.733333333333334
Cemex--1026207306,458.0,2024-11-21 10:58:57+00:00,2024-11-21 11:13:29+00:00,14.533333333333333
Cemex--1026207854,496.0,2024-11-21 12:51:06+00:00,2024-11-21 12:51:06+00:00,0.0
Cemex--1026207891,514.0,2024-11-21 12:25:27+00:00,2024-11-21 12:28:58+00:00,3.5166666666666666
Cemex--1026208081,226.0,2024-11-21 12:35:22+00:00,2024-11-21 12:40:13+00:00,4.85
Cemex--1026208439,273.0,2024-11-21 12:15:36+00:00,2024-11-21 12:19:57+00:00,4.35
Cemex--1026208817,439.0,2024-11-21 12:26:50+00:00,2024-11-21 12:32:31+00:00,5.683333333333334
Cemex--1026208861,262.0,2024-11-21 14:04:44+00:00,2024-11-21 14:04:54+00:00,0.16666666666666666
Cemex--1026208861,263.0,2024-11-21 14:05:55+00:00,2024-11-21 14:16:17+00:00,10.366666666666667
Cemex--1026209211,244.0,2024-11-21 14:53:50+00:00,2024-11-21 15:53:42+00:00,59.86666666666667
Cemex--1026209598,493.0,2024-11-21 14:34:31+00:00,2024-11-21 15:34:22+00:00,59.85
Cemex--1026210343,501.0,2024-11-21 14:39:35+00:00,2024-11-21 14:39:45+00:00,0.16666666666666666
Cemex--1026210343,502.0,2024-11-21 14:42:16+00:00,2024-11-21 15:42:08+00:00,59.86666666666667
Cemex--1026210444,252.0,2024-11-21 12:59:03+00:00,2024-11-21 13:00:14+00:00,1.1833333333333333
Cemex--1026210859,365.0,2024-11-21 13:54:38+00:00,2024-11-21 13:54:38+00:00,0.0
Cemex--1026210898,443.0,2024-11-21 14:31:05+00:00,2024-11-21 14:38:06+00:00,7.016666666666667
Cemex--1026210898,444.0,2024-11-21 15:19:31+00:00,2024-11-21 15:27:12+00:00,7.683333333333334
Cemex--1026210898,445.0,2024-11-21 15:33:19+00:00,2024-11-21 15:45:29+00:00,12.166666666666666
Cemex--1026210898,446.0,2024-11-21 15:47:11+00:00,2024-11-21 16:04:15+00:00,17.066666666666666
Cemex--1026210901,411.0,2024-11-21 13:25:37+00:00,2024-11-21 13:25:37+00:00,0.0
Cemex--1026211407,515.0,2024-11-21 15:46:15+00:00,2024-11-21 15:54:26+00:00,8.183333333333334
Cemex--1026211407,516.0,2024-11-21 16:12:10+00:00,2024-11-21 17:12:01+00:00,59.85
Cemex--1026211642,338.0,2024-11-21 15:15:40+00:00,2024-11-21 16:15:21+00:00,59.68333333333333
Cemex--1026212204,489.0,2024-11-21 18:07:48+00:00,2024-11-21 19:07:08+00:00,59.333333333333336
Cemex--1026212318,400.0,2024-11-21 14:06:25+00:00,2024-11-21 14:10:36+00:00,4.183333333333334
Cemex--1026212483,295.0,2024-11-21 15:38:21+00:00,2024-11-21 15:38:41+00:00,0.3333333333333333
Cemex--1026212502,480.0,2024-11-21 14:43:43+00:00,2024-11-21 14:43:53+00:00,0.16666666666666666
Cemex--1026212502,481.0,2024-11-21 15:35:03+00:00,2024-11-21 15:41:04+00:00,6.016666666666667
Cemex--1026212875,22.0,2024-11-21 14:42:00+00:00,2024-11-21 14:42:10+00:00,0.16666666666666666
Cemex--1026213308,61.0,2024-11-21 16:12:30+00:00,2024-11-21 16:40:15+00:00,27.75
Cemex--1026213308,62.0,2024-11-21 16:43:25+00:00,2024-11-21 16:44:26+00:00,1.0166666666666666
Cemex--1026213308,63.0,2024-11-21 17:05:00+00:00,2024-11-21 17:09:01+00:00,4.016666666666667
Cemex--1026213372,524.0,2024-11-21 15:15:04+00:00,2024-11-21 15:15:55+00:00,0.85
Cemex--1026213497,352.0,2024-11-21 16:49:59+00:00,2024-11-21 17:00:41+00:00,10.7
Cemex--1026213772,482.0,2024-11-21 16:24:42+00:00,2024-11-21 16:37:55+00:00,13.216666666666667
Cemex--1026218459,289.0,2024-11-22 08:01:15+00:00,2024-11-22 08:09:17+00:00,8.033333333333333
Cemex--1026218610,255.0,2024-11-22 07:38:53+00:00,2024-11-22 07:44:04+00:00,5.183333333333334
Cemex--1026218610,256.0,2024-11-22 08:58:48+00:00,2024-11-22 09:25:33+00:00,26.75
Cemex--1026218972,541.0,2024-11-22 08:14:56+00:00,2024-11-22 08:22:17+00:00,7.35
Cemex--1026219080,436.0,2024-11-22 07:58:17+00:00,2024-11-22 08:03:18+00:00,5.016666666666667
Cemex--1026219206,360.0,2024-11-22 09:43:00+00:00,2024-11-22 09:48:01+00:00,5.016666666666667
Cemex--1026219581,294.0,2024-11-22 08:13:09+00:00,2024-11-22 08:14:40+00:00,1.5166666666666666
Cemex--1026219635,468.0,2024-11-22 08:33:19+00:00,2024-11-22 08:35:29+00:00,2.1666666666666665
Cemex--1026219768,375.0,2024-11-22 08:56:12+00:00,2024-11-22 09:00:53+00:00,4.683333333333334
Cemex--1026220119,425.0,2024-11-22 08:01:01+00:00,2024-11-22 08:02:41+00:00,1.6666666666666667
Cemex--1026221122,196.0,2024-11-22 10:46:42+00:00,2024-11-22 11:28:09+00:00,41.45
Cemex--1026221122,197.0,2024-11-22 11:29:19+00:00,2024-11-22 11:34:00+00:00,4.683333333333334
Cemex--1026221263,364.0,2024-11-22 09:36:09+00:00,2024-11-22 09:36:09+00:00,0.0
Cemex--1026221521,503.0,2024-11-22 10:14:23+00:00,2024-11-22 10:20:24+00:00,6.016666666666667
Cemex--1026221521,504.0,2024-11-22 11:24:26+00:00,2024-11-22 12:24:17+00:00,59.85
Cemex--1026221534,408.0,2024-11-22 11:32:47+00:00,2024-11-22 12:32:39+00:00,59.86666666666667
Cemex--1026221960,84.0,2024-11-22 09:35:16+00:00,2024-11-22 09:35:16+00:00,0.0
Cemex--1026221960,85.0,2024-11-22 09:38:06+00:00,2024-11-22 09:41:27+00:00,3.35
Cemex--1026221960,86.0,2024-11-22 09:41:57+00:00,2024-11-22 09:47:38+00:00,5.683333333333334
Cemex--1026221960,87.0,2024-11-22 09:48:58+00:00,2024-11-22 09:52:49+00:00,3.85
Cemex--1026222452,200.0,2024-11-22 09:11:22+00:00,2024-11-22 09:13:53+00:00,2.5166666666666666
