@timestamp,docket_id,docket_rmc,truck_registration,docket_plant_code,docket_datetime_batch_utc,volume_delivered,docket_jobsite_description,detail_docket_consistence_class,detail_docket_consistence_class_min,detail_docket_consistence_class_max,detail_docket_consistence_target,detail_docket_consistence_lower_limit_composite,detail_docket_consistence_upper_limit_composite
2025-01-20 12:37:19.000,London-Concrete--41229702,London-Concrete,WU18FLE,BWL,2025-01-20T12:14:00.000Z,7.5,ALDERMANBURY SQUARE - EC2,S4,160,210,0,150,220
2025-01-20 12:41:20.000,London-Concrete--41229757,London-Concrete,WU64AUA,HNL,2025-01-20T12:24:00.000Z,7.5,CHURCH STREET - EN2,S3,100,150,0,90,160
2025-01-20 12:41:21.000,London-Concrete--41229805,London-Concrete,KT15AAZ,HNL,2025-01-20T12:40:36.374Z,6,HORNSEY CASH SALES,S4,160,210,0,150,220
2025-01-20 12:43:20.000,London-Concrete--41229809,London-Concrete,KX16FOF,BWL,2025-01-20T12:43:14.150Z,7.5,WOOD WHARF - CANARY WHARF,S4,160,210,0,150,220
2025-01-20 12:44:19.000,London-Concrete--41229765,London-Concrete,WU72CME,BWL,2025-01-20T12:36:00.000Z,6,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-20 12:44:20.000,London-Concrete--41229815,London-Concrete,GN17VMG,BWL,2025-01-20T12:44:08.689Z,7.5,ALDERMANBURY SQUARE - EC2,S4,160,210,0,150,220
2025-01-20 12:56:19.000,London-Concrete--41229809,London-Concrete,KX16FOF,BWL,2025-01-20T12:39:00.000Z,7.5,WOOD WHARF - CANARY WHARF,S4,160,210,0,150,220
2025-01-20 12:56:22.000,London-Concrete--41229845,London-Concrete,WU64ATY,BWL,2025-01-20T12:55:25.900Z,7.5,WOOD WHARF - CANARY WHARF,S4,160,210,0,150,220
2025-01-20 12:58:19.000,London-Concrete--41229805,London-Concrete,KT15AAZ,HNL,2025-01-20T12:41:00.000Z,6,HORNSEY CASH SALES,S4,160,210,0,150,220
2025-01-20 12:58:20.000,London-Concrete--41229852,London-Concrete,RE67BVT,HNL,2025-01-20T12:57:59.468Z,7.5,ST ANN'S ROAD - N15,S1,10,40,0,0,50
2025-01-20 13:05:19.000,London-Concrete--41229871,London-Concrete,KX16FOK,BWL,2025-01-20T13:05:12.251Z,7.5,WOOD WHARF - CANARY WHARF,S4,160,210,0,150,220
2025-01-20 13:06:20.000,London-Concrete--41229815,London-Concrete,GN17VMG,BWL,2025-01-20T12:54:00.000Z,7.5,ALDERMANBURY SQUARE - EC2,S4,160,210,0,150,220
2025-01-20 13:06:23.000,London-Concrete--41229845,London-Concrete,WU64ATY,BWL,2025-01-20T12:51:00.000Z,7.5,WOOD WHARF - CANARY WHARF,S4,160,210,0,150,220
2025-01-20 13:06:26.000,London-Concrete--41229875,London-Concrete,RX68YCR,BWL,2025-01-20T13:05:50.629Z,7.5,ALDERMANBURY SQUARE - EC2,S4,160,210,0,150,220
2025-01-20 13:15:19.000,London-Concrete--41229893,London-Concrete,RV69HCC,BWL,2025-01-20T13:14:57.611Z,7.5,WOOD WHARF - CANARY WHARF,S4,160,210,0,150,220
2025-01-20 13:15:21.000,London-Concrete--41229871,London-Concrete,KX16FOK,BWL,2025-01-20T13:01:00.000Z,7.5,WOOD WHARF - CANARY WHARF,S4,160,210,0,150,220
2025-01-20 13:17:19.000,London-Concrete--41229875,London-Concrete,RX68YCR,BWL,2025-01-20T13:16:00.000Z,7.5,ALDERMANBURY SQUARE - EC2,S4,160,210,0,150,220
2025-01-20 13:17:21.000,London-Concrete--41229902,London-Concrete,WU19HZV,BWL,2025-01-20T13:16:47.856Z,7.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
2025-01-20 13:18:19.000,London-Concrete--41229852,London-Concrete,RE67BVT,HNL,2025-01-20T12:59:00.000Z,7.5,ST ANN'S ROAD - N15,S1,10,40,0,0,50
2025-01-20 13:24:19.000,London-Concrete--41229911,London-Concrete,WN66YBU,BWL,2025-01-20T13:23:18.972Z,7.5,WOOD WHARF - CANARY WHARF,S4,160,210,0,150,220
2025-01-20 13:25:19.000,London-Concrete--41229893,London-Concrete,RV69HCC,BWL,2025-01-20T13:11:00.000Z,7.5,WOOD WHARF - CANARY WHARF,S4,160,210,0,150,220
2025-01-20 13:30:20.000,London-Concrete--41229902,London-Concrete,WU19HZV,BWL,2025-01-20T13:29:00.000Z,7.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
2025-01-20 13:44:18.000,London-Concrete--41229757,London-Concrete,WU64AUA,HNL,2025-01-20T12:24:00.000Z,7.5,CHURCH STREET - EN2,S3,100,150,0,90,160
2025-01-20 14:18:19.000,London-Concrete--41230041,London-Concrete,WU19HYJ,BWL,2025-01-20T14:18:00.502Z,4,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-20 14:20:18.000,London-Concrete--41229911,London-Concrete,WN66YBU,BWL,2025-01-20T13:19:00.000Z,7.5,WOOD WHARF - CANARY WHARF,S4,160,210,0,150,220
2025-01-20 14:20:19.000,London-Concrete--41229911,London-Concrete,WN66YBU,BWL,2025-01-20T13:23:18.972Z,7.5,WOOD WHARF - CANARY WHARF,S4,160,210,0,150,220
